accident_index,accident_severity,num_accident_in_ons,num_accident_in_same_road_type,num_accident_in_same_road,num_accident_in_same_second_road,num_casualties,num_vehicle_involved,weather_conditions,light_conditions,road_surface_conditions,carriageway_hazards,special_conditions_at_site,is_night,num_cars,num_heavy_vehicles,num_motorcycles,num_pedal_cycles,num_pedestrians,is_child_involved,is_old_involved
"""2018010148520""",3,91,247,13,7083,1,1,2,1,2,2,0,0,1,0,0,0,1,0,0
"""2017360164181""",3,21,7489,9,583,2,2,1,1,1,0,0,0,2,0,0,0,0,0,1
"""2019040898566""",3,40,7489,3055,9,1,2,1,1,2,0,0,0,0,1,1,0,0,0,0
"""2017471702692""",3,29,7489,6,7083,1,3,1,1,1,0,0,0,3,0,0,0,0,0,0
"""201760V178889""",3,20,7489,3055,7083,1,2,1,1,2,0,0,0,1,0,0,1,0,0,0
"""2018010101936""",3,91,7489,567,1,1,2,1,4,1,0,0,1,2,0,0,0,0,0,0
"""2021010298423""",3,64,7489,10,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2017010080589""",3,70,7489,3,7083,1,2,1,4,4,0,0,0,1,0,1,0,0,0,0
"""2016350121209""",3,30,764,3055,7083,2,2,1,1,1,0,0,0,1,1,0,0,0,1,0
"""2018460285936""",3,42,7489,1,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""201643R080056""",3,10,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2019010200797""",3,49,7489,567,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2020111009026""",3,83,7489,3055,1,2,2,7,1,2,0,0,0,2,0,0,0,0,0,0
"""2021320427883""",3,19,7489,567,7083,1,2,2,1,2,0,0,0,2,0,0,0,0,0,0
"""2020010280088""",3,70,171,21,9,1,2,1,1,2,0,0,0,2,0,0,0,0,0,0
"""2020420993508""",3,19,764,31,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017134CI0561""",3,77,7489,1,7083,1,2,1,7,1,0,0,0,2,0,0,0,0,0,0
"""2016331601168""",3,14,7489,3055,7083,1,2,2,1,2,0,0,0,1,0,1,0,0,0,0
"""2021522105198""",3,18,7489,3055,7083,1,1,2,4,2,0,0,0,1,0,0,0,1,0,0
"""2016010029563""",3,109,1285,8,4,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""2020552000284""",3,39,764,6,1,1,2,8,4,2,0,0,0,2,0,0,0,0,0,0
"""2017010065769""",3,32,7489,23,7083,1,2,1,1,2,0,0,0,2,0,0,0,1,0,0
"""2021141102168""",3,47,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,1
"""20161339L0583""",3,147,7489,3055,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
"""2019471902556""",3,28,764,8,7083,1,1,1,4,1,0,0,1,1,0,0,0,0,0,0
"""201806L240872""",3,44,7489,2,7083,3,3,1,1,1,0,0,0,3,0,0,0,1,0,0
"""201697GA02501""",3,78,7489,3055,7083,1,2,1,4,1,0,0,0,1,0,0,1,0,0,0
"""2018010084290""",3,92,7489,31,583,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""201706E032499""",3,102,7489,567,7083,1,1,2,1,2,0,0,0,1,0,0,0,1,0,0
"""2017010043555""",3,80,7489,567,583,1,3,1,1,1,0,0,0,2,0,1,0,0,0,0
"""2016220125550""",3,7,764,2,1,1,2,1,1,2,0,0,0,2,0,0,0,0,0,0
"""2019010169680""",3,80,7489,9,7083,1,2,1,4,1,0,0,0,1,0,1,0,0,0,0
"""201963C013719""",3,22,7489,3055,7083,1,2,9,4,1,0,0,0,2,0,0,0,0,0,0
"""2020010273789""",3,90,7489,24,15,1,2,2,7,2,0,0,0,0,1,0,1,0,0,0
"""2021010334061""",3,70,1285,11,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2019040903155""",3,20,1285,3055,14,2,2,2,4,2,0,0,0,2,0,0,0,0,0,0
"""2017160194719""",3,54,764,11,7083,1,4,1,1,1,0,0,0,4,0,0,0,0,0,0
"""2019010193728""",3,82,7489,11,7083,1,3,1,1,1,0,0,1,3,0,0,0,0,0,0
"""2019460867277""",3,42,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021170M10801""",3,20,7489,3,7083,2,2,1,1,1,0,0,1,2,0,0,0,0,0,0
"""20191361S0313""",3,147,1285,3055,3,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2018051801704""",3,30,1285,2,11,1,2,1,1,1,0,0,0,2,0,0,0,0,0,1
"""2019010222050""",3,57,7489,24,7083,1,3,1,4,1,0,0,0,1,0,2,0,0,0,0
"""2021302101190""",3,35,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2019010216825""",3,82,7489,5,583,1,3,1,4,1,0,0,1,2,0,1,0,0,0,0
"""2018051910037""",3,92,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021010313648""",3,29,7489,3,583,1,2,1,4,1,0,0,1,1,0,1,0,0,0,0
"""201960X069674""",3,20,764,8,2,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""201706J036999""",3,37,7489,567,7083,1,2,2,4,2,0,0,1,2,0,0,0,1,0,0
"""2020990949682""",3,6,764,4,2,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2020470967937""",3,28,7489,1,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2018051840319""",3,92,7489,7,7083,1,1,1,4,1,0,0,0,1,0,0,0,1,0,0
"""2018010130657""",3,70,764,6,583,1,2,2,1,2,0,0,0,2,0,0,0,0,0,0
"""2018160281711""",3,65,764,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021430188920""",3,24,7489,72,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017520701281""",3,15,97,9,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017030152677""",3,12,7489,4,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2016521603557""",3,60,247,3055,7083,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0
"""2021991109020""",3,78,7489,3055,7083,1,1,2,4,2,0,0,0,1,0,0,0,1,0,0
"""2018301801435""",3,9,1285,41,9,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021201079695""",3,40,7489,3055,7083,1,2,8,1,1,0,0,0,2,0,0,0,0,0,0
"""201931D096619""",3,18,764,24,8,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2016331602105""",3,44,7489,9,7083,1,2,1,1,2,0,0,0,2,0,0,0,0,0,0
"""2020160946569""",3,32,764,7,1,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""201601HT20654""",3,92,7489,3,2,1,3,1,1,1,0,0,0,2,0,1,0,0,0,0
"""2017010052794""",3,70,7489,3055,7083,2,1,1,1,1,0,0,0,1,0,0,0,2,0,1
"""2021552200024""",3,39,7489,5,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2020410999153""",3,15,7489,3055,7083,2,4,1,4,1,0,0,0,4,0,0,0,0,0,0
"""2020360937107""",3,24,7489,3055,7083,1,1,1,1,2,0,0,0,1,0,0,0,0,1,0
"""2016471602861""",3,22,171,12,7,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017230254744""",3,18,7489,4,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,1
"""2019140857780""",3,47,764,18,2,1,2,1,1,1,0,0,0,2,0,0,0,0,1,0
"""2020010262694""",3,44,7489,9,7083,1,2,1,1,1,0,0,0,0,1,1,0,0,0,0
"""2018471805879""",3,27,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2019430375405""",3,24,764,1,7,1,1,1,4,1,0,0,0,1,0,0,0,0,0,0
"""2017440188090""",3,9,7489,6,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017440433384""",3,24,7489,43,7083,1,2,2,1,2,0,0,0,1,0,0,1,0,0,0
"""2019070681602""",3,49,1285,6,583,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"""2017430202475""",3,17,764,6,7083,1,2,1,1,2,0,0,0,1,0,0,1,0,0,0
"""2017460248208""",3,42,7489,3055,7083,1,2,2,4,2,0,0,0,1,0,1,0,0,0,0
"""201637EA96841""",3,24,7489,567,7083,1,2,7,4,2,0,0,0,1,0,0,1,0,0,0
"""201604WB16258""",3,26,7489,4,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2020201025807""",3,166,7489,3055,7083,1,2,1,4,1,0,0,1,2,0,0,0,0,0,0
"""2018010101518""",3,35,7489,6,583,1,2,1,1,1,1,0,0,2,0,0,0,0,0,0
"""2019010233199""",3,44,764,31,8,1,2,9,1,9,9,9,0,1,1,0,0,0,0,0
"""2016520604658""",3,5,7489,3055,7083,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0
"""2017051702139""",3,12,1285,27,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2018440029772""",3,27,1285,24,4,1,2,2,1,2,0,0,0,2,0,0,0,0,0,0
"""2019450821420""",3,26,7489,3055,7083,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""201601LX51046""",3,109,1285,8,3,1,2,2,4,2,0,0,1,2,0,0,0,0,0,0
"""2016460265780""",3,18,7489,10,7083,1,2,1,1,2,0,0,0,1,0,0,1,0,0,0
"""2016210052811""",3,30,7489,3055,7083,1,3,1,4,1,0,0,0,2,0,0,1,0,0,0
"""2019040805892""",3,40,7489,3055,7083,1,2,8,4,2,0,0,0,1,0,0,1,0,0,0
"""2017200159010""",3,166,7489,3055,7083,2,2,1,4,2,0,0,1,2,0,0,0,0,0,0
"""201606Q013305""",3,42,7489,4,7083,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0
